Table 1: List of Projects Studied in Transition Cycle #1 / Phase I
Project ID,Project Name / POI,State[2],Status,Transmission Owner[3],Maxiumum Facility Output (MFO in MW),MW Energy (MWE),MW Capacity (MWC),Project Type,Resource Type
AF1-277,Lewis Run-Pierce Brook 2 230 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,200.0,100.0,67.0,Generation Interconnection,Solar
AF1-278,Lewis Run-Pierce Brook 3 230 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,280.0,80.0,53.44,Generation Interconnection,Solar
AF1-280,Nelson-Lee County,Illinois,Active,Commonwealth Edison Company,200.0,200.0,137.0,Generation Interconnection,Solar
AF1-281,Nelson-Lee County,Illinois,Active,Commonwealth Edison Company,220.0,20.0,3.0,Generation Interconnection,Storage
AF1-293,Kidds Store-Fort Union 115 kV,Virginia,Active,Virginia Electric and Power Company,127.86,127.86,108.37,Generation Interconnection,Solar; Storage
AF1-294,Jetersville-Ponton 115 kV,Virginia,Active,Virginia Electric and Power Company,41.0,41.0,24.6,Generation Interconnection,Solar
AF1-296,Garden Plain 138 kV,Illinois,Active,Commonwealth Edison Company,212.1,212.1,37.3296,Generation Interconnection,Wind
AF1-301,Louisa-South Anna 230 kV,Virginia,Active,Virginia Electric and Power Company,117.0,117.0,70.0,Generation Interconnection,Solar
AF1-306,Squab Hollow 230 kV,Pennsylvania,Active,Keystone Appalachian Transmission Company,197.2,197.2,49.3,Generation Interconnection,Storage
AF1-314,Lena - Lancaster 138 kV,Illinois,Active,Commonwealth Edison Company,212.0,212.0,37.2,Generation Interconnection,Wind
AF1-318,Crescent Ridge-Corbin,Illinois,Active,Commonwealth Edison Company,299.97,299.97,52.7947,Generation Interconnection,Wind
AF1-323,Scottsville-Colleen 138 kV,Virginia,Active,American Electric Power,55.0,55.0,33.0,Generation Interconnection,Solar
AF2-008,Sullivan 345 kV,Indiana,Active,American Electric Power,2000.0,1000.0,500.0,Merchant Transmission,None
AF2-010,Union City-Titusville 115 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,77.0,77.0,46.0,Generation Interconnection,Solar
AF2-016,Lewis 138 kV,New Jersey,Active,Atlantic City Electric,240.0,240.0,96.0,Generation Interconnection,Storage
AF2-021,Cedar 69 kV,New Jersey,Active,Atlantic City Electric,20.0,20.0,8.0,Generation Interconnection,Storage
AF2-025,Ontario 69 kV,New Jersey,Active,Atlantic City Electric,20.0,20.0,8.0,Generation Interconnection,Storage
AF2-034,Kendall 345kV,Illinois,Active,Commonwealth Edison Company,1238.8,20.0,10.8,Generation Interconnection,Solar; Storage
AF2-035,St. Johns 115 kV,Virginia,Active,Virginia Electric and Power Company,72.0,72.0,48.0,Generation Interconnection,Solar
AF2-037,Louisa-North Anna 230 kV,Virginia,Active,Virginia Electric and Power Company,94.0,94.0,56.4,Generation Interconnection,Solar
AF2-041,Nelson-Electric Junction 345 kV,Illinois,Active,Commonwealth Edison Company,300.0,300.0,180.0,Generation Interconnection,Solar
AF2-042,Clover-Rawlings 500 kV,Virginia,Active,Virginia Electric and Power Company,500.0,500.0,300.0,Generation Interconnection,Solar
AF2-046,Tunis-Mapleton 115 kV,North Carolina,Active,Virginia Electric and Power Company,150.0,150.0,99.8,Generation Interconnection,Solar
AF2-047,Creswell-Riders Creek 115 kV,North Carolina,Active,Virginia Electric and Power Company,150.0,150.0,99.8,Generation Interconnection,Solar
AF2-050,Bearrock-Johnstown 230 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,150.0,50.0,30.0,Generation Interconnection,Solar
AF2-056,Shenandoah Tap 1– Mahanoy Tap 2 69 kV,Pennsylvania,Active,PPL Electric Utilities Corporation,50.0,50.0,33.0,Generation Interconnection,Solar
AF2-063,Louisa-North Anna 230 kV,Virginia,Active,Virginia Electric and Power Company,150.0,150.0,90.0,Generation Interconnection,Solar
AF2-065,Surry-Hopewell 230 kV,Virginia,Active,Virginia Electric and Power Company,300.0,150.0,76.5,Generation Interconnection,Solar
AF2-068,Jay 138 kV,Indiana,Active,American Electric Power,150.0,150.0,90.0,Generation Interconnection,Solar
AF2-069,Crescent Ridge 138 kV,Illinois,Active,Commonwealth Edison Company,88.7,9.3,2.2,Generation Interconnection,Wind
AF2-070,Crescent Ridge 138 kV,Illinois,Active,Commonwealth Edison Company,72.6,18.15,3.1,Generation Interconnection,Wind
AF2-080,Chinquapin-Everetts 230 kV,North Carolina,Active,Virginia Electric and Power Company,150.0,70.0,48.5,Generation Interconnection,Solar
AF2-081,Moyock 230 kV,North Carolina,Active,Virginia Electric and Power Company,80.0,80.0,56.0,Generation Interconnection,Solar
AF2-095,Davis Creek 138 kV,Illinois,Active,Commonwealth Edison Company,200.0,200.0,136.0,Generation Interconnection,Solar; Storage
AF2-096,Braidwood-East Frankfort 345 kV,Illinois,Active,Commonwealth Edison Company,375.0,375.0,255.0,Generation Interconnection,Solar; Storage
AF2-111,North Clark-Spurlock 345 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,250.0,250.0,150.0,Generation Interconnection,Solar
AF2-115,Jetersville-Ponton 115 kV,Virginia,Active,Virginia Electric and Power Company,66.0,25.0,15.0,Generation Interconnection,Solar
AF2-120,Garner-Northern Neck 115 kV,Virginia,Active,Virginia Electric and Power Company,62.0,62.0,37.2,Generation Interconnection,Solar
AF2-121,Philipsburg-Shawville 34.5 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,20.0,20.0,12.0,Generation Interconnection,Solar
AF2-126,Weston 69 kV II,Ohio,Active,American Transmission Systems Incorporated,101.0,51.0,34.0,Generation Interconnection,Solar
AF2-128,Crescent Ridge-Corbin 138 kV,Illinois,Active,Commonwealth Edison Company,79.5,79.5,13.992,Generation Interconnection,Wind
AF2-142,Nevada 345 kV,Illinois,Active,Commonwealth Edison Company,150.0,150.0,90.0,Generation Interconnection,Solar
AF2-143,Powerton-Nevada 345 kV,Illinois,Active,Commonwealth Edison Company,150.0,150.0,90.0,Generation Interconnection,Solar
AF2-164,Handsome Lake 345 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,80.0,80.0,48.0,Generation Interconnection,Solar
AF2-171,Madisonville 115 kV,Virginia,Active,Virginia Electric and Power Company,150.0,150.0,90.0,Generation Interconnection,Solar
AF2-173,Desoto 345 kV,Indiana,Active,American Electric Power,200.0,200.0,84.0,Generation Interconnection,Solar
AF2-176,Masury-Maysville 138 kV,Pennsylvania,Active,American Transmission Systems Incorporated,60.0,60.0,36.0,Generation Interconnection,Solar
AF2-177,Sorenson-DeSoto #2 345 kV,Indiana,Active,American Electric Power,200.0,200.0,26.0,Generation Interconnection,Wind
AF2-182,Nelson-Lee County 345 kV II,Illinois,Active,Commonwealth Edison Company,520.0,300.0,180.0,Generation Interconnection,Solar
AF2-183,Nelson-Lee County 345 kV,Illinois,Active,Commonwealth Edison Company,600.0,80.0,32.0,Generation Interconnection,Storage
AF2-193,Indian River 230 kV I,Delaware,Active,Delmarva Power and Light Company,440.0,440.0,119.0,Generation Interconnection,Offshore Wind
AF2-194,Indian River 230 kV II,Delaware,Active,Delmarva Power and Light Company,880.0,440.0,119.0,Generation Interconnection,Offshore Wind
AF2-199,Nelson-Electric Junction 345 kV,Illinois,Active,Commonwealth Edison Company,400.0,100.0,60.0,Generation Interconnection,Solar
AF2-200,Nelson-Electric Junction 345 kV,Illinois,Active,Commonwealth Edison Company,600.0,200.0,120.0,Generation Interconnection,Solar
AF2-201,Lena - Lancaster 138 kV,Illinois,Active,Commonwealth Edison Company,199.0,199.0,51.4,Generation Interconnection,Wind; Solar
AF2-209,South Hicksville-Sowers 138 kV,Ohio,Active,American Electric Power,140.0,140.0,95.4,Generation Interconnection,Solar; Storage
AF2-222,Madisonville DP-Twitty's Creek 115 kV,Virginia,Active,Virginia Electric and Power Company,167.0,167.0,100.0,Generation Interconnection,Solar
AF2-225,McLean 345 kV,Illinois,Active,Commonwealth Edison Company,150.0,150.0,63.0,Generation Interconnection,Solar
AF2-226,Katydid Road 345 kV,Illinois,Active,Commonwealth Edison Company,50.0,50.0,20.0,Generation Interconnection,Storage
AF2-263,Shelby 138 kV,Ohio,Active,The Dayton Power and Light Company,98.0,98.0,58.8,Generation Interconnection,Solar
AF2-296,Madera 34.5 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,20.0,20.0,12.0,Generation Interconnection,Solar
AF2-297,Sedge Hill 115 kV,Virginia,Active,Virginia Electric and Power Company,80.0,80.0,48.0,Generation Interconnection,Solar
AF2-299,Fields 34.5 kV,Virginia,Active,Virginia Electric and Power Company,25.0,25.0,15.0,Generation Interconnection,Solar
AF2-302,Scottsville-Colleen 138 kV,Virginia,Active,American Electric Power,75.0,20.0,12.0,Generation Interconnection,Solar
AF2-307,Hope-Blevins Valley Tap 69 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,66.0,66.0,39.6,Generation Interconnection,Solar
AF2-319,Katydid Road 345 kV,Illinois,Active,Commonwealth Edison Company,50.0,50.0,20.0,Generation Interconnection,Storage
AF2-321,Stryker-Ridgeville 138 kV,Ohio,Active,American Transmission Systems Incorporated,148.0,148.0,88.8,Generation Interconnection,Solar
AF2-324,Edgecombe 230 kV,North Carolina,Active,Virginia Electric and Power Company,75.0,75.0,45.0,Generation Interconnection,Solar
AF2-329,Sandwich-Plano 138 kV,Illinois,Active,Commonwealth Edison Company,292.2,42.2,42.2,Generation Interconnection,Storage
AF2-335,Delaware-Royerton 138 kV,Indiana,Active,American Electric Power,100.0,100.0,60.0,Generation Interconnection,Solar
AF2-348,North Clark-Spurlock 345 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,250.0,250.0,150.0,Generation Interconnection,Solar
AF2-349,SILVER LAKE- CHERRY VALLEY 345 KV,Illinois,Active,Commonwealth Edison Company,300.0,300.0,180.0,Generation Interconnection,Solar
AF2-350,Kensington 138 kV,Illinois,Active,Commonwealth Edison Company,100.0,100.0,60.0,Generation Interconnection,Solar
AF2-351,Kensington 138 kV,Illinois,Active,Commonwealth Edison Company,120.0,20.0,8.0,Generation Interconnection,Storage
AF2-355,West Gerrard-J.K. Smith 345 nkV,Kentucky,Active,East Kentucky Power Cooperative Inc.,225.0,225.0,135.0,Generation Interconnection,Solar
AF2-358,Airey-Vienna 69 kV,Maryland,Active,Delmarva Power and Light Company,100.0,100.0,60.0,Generation Interconnection,Solar
AF2-370,Delaware-Royerton 138 kV,Indiana,Active,American Electric Power,100.0,0.0,20.0,Generation Interconnection,Storage
AF2-381,Bedford North-Central City West 115 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,60.0,60.0,40.2,Generation Interconnection,Solar
AF2-388,Keystone-Desoto 345 kV,Indiana,Active,American Electric Power,200.0,200.0,35.2,Generation Interconnection,Wind
AF2-392,Nelson-Dixon 138 kV,Illinois,Active,Commonwealth Edison Company,200.0,200.0,35.2,Generation Interconnection,Wind
AF2-393,Nelson-Dixon 138 kV,Illinois,Active,Commonwealth Edison Company,260.0,60.0,55.0,Generation Interconnection,Storage
AF2-394,Nelson-Dixon 138 kV,Illinois,Active,Commonwealth Edison Company,300.0,40.0,40.0,Generation Interconnection,Storage
AF2-396,Stinger 138 kV,Michigan,Active,American Electric Power,200.0,200.0,200.0,Generation Interconnection,Solar; Storage
AF2-397,Fork Union-Mt. Eagle 230 kV,Virginia,Active,Virginia Electric and Power Company,130.0,130.0,78.0,Generation Interconnection,Solar; Storage
AF2-403,Shockoe DP-Chatham 69 kV,Virginia,Active,Virginia Electric and Power Company,60.0,0.0,8.0,Generation Interconnection,Storage
AF2-404,Gladys DP-Stonemill 69 kV,Virginia,Active,Virginia Electric and Power Company,60.0,0.0,0.0,Generation Interconnection,Storage
AF2-406,Sayre 115 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,75.0,75.0,75.0,Generation Interconnection,Storage
AF2-407,Fall Creek 345 kV,Indiana,Active,American Electric Power,300.0,300.0,300.0,Generation Interconnection,Storage
AF2-412,Mainesburg 115 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,130.0,130.0,130.0,Generation Interconnection,Storage
AF2-441,Burnham 138kV,Illinois,Active,Commonwealth Edison Company,200.0,200.0,80.0,Generation Interconnection,Storage
AG1-005,Corbin-Crescent Ridge 138 kV,Illinois,Active,Commonwealth Edison Company,250.0,250.0,150.0,Generation Interconnection,Solar
AG1-008,Tunis-Mapleton 115 kV,North Carolina,Active,Virginia Electric and Power Company,150.0,150.0,100.0,Generation Interconnection,Solar
AG1-011,Colonial Trail 230 kV,Virginia,Active,Virginia Electric and Power Company,160.0,160.0,160.0,Generation Interconnection,Storage
AG1-019,Arnold's Corner-Dahlgren 230 kV,Virginia,Active,Virginia Electric and Power Company,200.0,100.0,100.0,Generation Interconnection,Storage
AG1-021,Jetersville-Ponton 115 kV,Virginia,Active,Virginia Electric and Power Company,86.0,20.0,12.0,Generation Interconnection,Solar
AG1-022,Scottsville-Colleen 138 kV,Virginia,Active,American Electric Power,95.0,20.0,12.0,Generation Interconnection,Solar
AG1-030,Victoria DP-Martin DP 115 kV,Virginia,Active,Virginia Electric and Power Company,150.0,150.0,90.0,Generation Interconnection,Solar
AG1-051,Maysville 69 kV III,Pennsylvania,Active,American Transmission Systems Incorporated,70.0,20.0,20.0,Generation Interconnection,Storage
AG1-060,Eldred 69 kV,Pennsylvania,Active,PPL Electric Utilities Corporation,174.8,174.8,25.7,Generation Interconnection,Solar
AG1-061,Laurel-Sharptown 69 kV,Delaware,Active,Delmarva Power and Light Company,109.3,109.3,65.58,Generation Interconnection,Solar
AG1-075,Purdy-Sapony 115 kV,Virginia,Active,Virginia Electric and Power Company,150.0,150.0,93.2,Generation Interconnection,Solar
AG1-082,Ahoskie 34.5 kV,North Carolina,Active,Virginia Electric and Power Company,20.0,20.0,12.0,Generation Interconnection,Solar; Storage
AG1-083,Ahoskie 34.5 kV,North Carolina,Active,Virginia Electric and Power Company,20.0,20.0,12.0,Generation Interconnection,Solar; Storage
AG1-090,Philipsburg 115 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,100.0,100.0,80.0,Generation Interconnection,Solar; Storage
AG1-098,Briery-Clover 230 kV,Virginia,Active,Virginia Electric and Power Company,107.0,107.0,64.2,Generation Interconnection,Solar
AG1-105,Mount Laurel-Barnes Junction 115 kV,Virginia,Active,Virginia Electric and Power Company,90.0,90.0,54.0,Generation Interconnection,Solar
AG1-106,Thelma 230 kV,North Carolina,Active,Virginia Electric and Power Company,350.0,50.0,34.4,Generation Interconnection,Solar
AG1-109,Valley 138 kV,Michigan,Active,American Electric Power,50.0,0.0,25.0,Generation Interconnection,Storage
AG1-118,Sugar Grove-Waterman 138kV,Illinois,Active,Commonwealth Edison Company,300.0,300.0,180.0,Generation Interconnection,Solar
AG1-119,Wayne-Byron 345 kV,Illinois,Active,Commonwealth Edison Company,300.0,300.0,180.0,Generation Interconnection,Solar
AG1-120,Glidden-Cherry Valley 138 kV,Illinois,Active,Commonwealth Edison Company,118.6,118.6,71.16,Generation Interconnection,Solar
AG1-121,Kewanee-Streator 138 kV,Illinois,Active,Commonwealth Edison Company,294.7,294.7,51.9,Generation Interconnection,Wind
AG1-123,Amherst 69 kV,Virginia,Active,American Electric Power,65.0,65.0,38.5,Generation Interconnection,Solar
AG1-124,Gladstone 138 kV,Virginia,Active,American Electric Power,90.0,90.0,53.01,Generation Interconnection,Solar
AG1-127,Crego Rd 138 kV,Illinois,Active,Commonwealth Edison Company,190.0,95.1,57.1,Generation Interconnection,Solar
AG1-133,North Anna-Ladysmith 500 kV,Virginia,Active,Virginia Electric and Power Company,128.0,128.0,76.8,Generation Interconnection,Solar
AG1-134,Kings Dominion DP 115 kV,Virginia,Active,Virginia Electric and Power Company,100.0,100.0,60.0,Generation Interconnection,Solar
