Table 1: List of Projects Studied in Transition Cycle #1 / Phase I
Project ID,Project Name / POI,State[2],Status,Transmission Owner[3],Maxiumum Facility Output (MFO in MW),MW Energy (MWE),MW Capacity (MWC),Project Type,Resource Type
AG1-321,Dresden-Pontiac Midpoint 345 kV,Illinois,Active,Commonwealth Edison Company,200.0,200.0,126.4,Generation Interconnection,Solar
AG1-342,Dryburg 115 kV,Virginia,Active,Virginia Electric and Power Company,45.0,45.0,25.2,Generation Interconnection,Solar; Storage
AG1-343,Boykins-Murphy 115 kV,Virginia,Active,Virginia Electric and Power Company,62.5,62.5,35.0,Generation Interconnection,Solar; Storage
AG1-346,Mount Jackson DP 115 kV,Virginia,Active,Virginia Electric and Power Company,20.0,20.0,12.0,Generation Interconnection,Solar
AG1-353,Greene County-Marion County 161 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,98.0,98.0,58.8,Generation Interconnection,Solar
AG1-354,Summershade-Green County 161 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,150.0,150.0,90.0,Generation Interconnection,Solar
AG1-359,Fentress 230 kV,Virginia,Active,Virginia Electric and Power Company,127.5,127.5,127.5,Generation Interconnection,Storage
AG1-364,Deep Creek 115 kV,Virginia,Active,Virginia Electric and Power Company,100.0,100.0,40.0,Generation Interconnection,Storage
AG1-367,DeSoto 345 kV,Indiana,Active,American Electric Power,100.0,100.0,60.0,Generation Interconnection,Solar
AG1-371,Nelson-Electric Junction 345 kV,Illinois,Active,Commonwealth Edison Company,600.0,0.0,30.0,Generation Interconnection,Storage
AG1-373,Nelson-Electric Junction 345 kV,Illinois,Active,Commonwealth Edison Company,600.0,0.0,10.0,Generation Interconnection,Storage
AG1-374,Blue Mound 345 kV,Illinois,Active,Commonwealth Edison Company,300.0,300.0,180.0,Generation Interconnection,Solar; Storage
AG1-375,Sorenson-Desoto 345 kV,Indiana,Active,American Electric Power,100.0,100.0,60.0,Generation Interconnection,Solar
AG1-377,Philipsburg 115 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,120.0,20.0,12.0,Generation Interconnection,Solar
AG1-378,Philipsburg 115 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,140.0,20.0,12.0,Generation Interconnection,Solar
AG1-379,Minonk 345 kV,Illinois,Active,Commonwealth Edison Company,200.0,200.0,137.2,Generation Interconnection,Solar
